"PTS","Pos","Club","Group","Year","Value","Value_centered","clas_factor","fitted","sum_p","real_p"
7,3,"atletico tucuman",5,2017,14.58,-11.21,"NO",0.307882137118332,1.85594720496157,16.588949098081
6,4,"penarol",5,2017,20.8,-4.99,"NO",0.42508740365967,1.85594720496157,22.9040676654631
13,1,"atletico mineiro",6,2017,68.5,42.58,"SI",0.972988307716952,1.77743987024988,54.7409970937675
11,2,"godoy cruz",6,2017,17.73,-8.19,"SI",0.362776530548333,1.77743987024988,20.4100592442169
6,3,"libertad",6,2017,13.25,-12.67,"NO",0.283065206060472,1.77743987024988,15.9254448377304
2,4,"sport boys",6,2017,4.2,-21.72,"NO",0.158609825924126,1.77743987024988,8.92349882428525
13,1,"lanus",7,2017,31.38,10.9775,"SI",0.731544453715243,2.10573965481824,34.7404985246567
8,2,"nacional",7,2017,21.35,0.9475,"SI",0.545651302021429,2.10573965481824,25.9125718971431
7,3,"chapecoense",7,2017,22.15,1.7475,"NO",0.561799316529065,2.10573965481824,26.6794290188526
5,4,"zulia fc",7,2017,6.73,-13.6725,"NO",0.266744582552504,2.10573965481824,12.6675005593476
13,1,"gremio",8,2017,54.18,35.27,"SI",0.951980775646541,1.84819422197328,51.5086977509394
11,2,"guarani",8,2017,8.18,-10.73,"SI",0.316300085206444,1.84819422197328,17.1140068206001
10,3,"deportes iquique",8,2017,5.78,-13.13,"NO",0.275501758433653,1.84819422197328,14.9065371570909
0,4,"zamora",8,2017,7.5,-11.41,"NO",0.30441160268664,1.84819422197328,16.4707582713697
3,4,"monagas",1,2018,6.45,-19.915,"NO",0.179291273033707,1.63889435278799,10.9397700180434
13,2,"cerro porteno",1,2018,10.68,-15.685,"SI",0.235843348736718,1.63889435278799,14.390393641635
4,3,"defensor sporting",1,2018,10.78,-15.585,"NO",0.237318764038572,1.63889435278799,14.4804186819522
14,1,"gremio",1,2018,77.55,51.185,"SI",0.986440966978997,1.63889435278799,60.1894176583695
8,3,"bolivar",2,2018,6.95,-8.64,"NO",0.354322145472622,2.08139065637127,17.0233369880863
7,4,"delfin",2,2018,11.7,-3.89,"NO",0.44718192267123,2.08139065637127,21.484766509467
8,2,"colo colo",2,2018,15.18,-0.41,"SI",0.518047175915871,2.08139065637127,24.8894735032127
10,1,"atletico nacional",2,2018,28.53,12.94,"SI",0.761839412311546,2.08139065637127,36.6024229992341
3,4,"the strongest",3,2018,3.08,-7.5675,"NO",0.374612116252725,2.10146970806099,17.8261963432429
13,1,"libertad",3,2018,7.1,-3.5475,"SI",0.454108416388195,2.10146970806099,21.6090869474011
